entity_id,state,last_changed
sensor.washing_machine_current_power,1.4,2025-12-30T23:00:00.000Z
sensor.washing_machine_current_power,2.4,2025-12-30T23:00:08.431Z
sensor.washing_machine_current_power,1.3,2025-12-30T23:00:16.694Z
sensor.washing_machine_current_power,2.3,2025-12-30T23:01:57.887Z
sensor.washing_machine_current_power,1.0,2025-12-30T23:02:08.196Z
sensor.washing_machine_current_power,2.1,2025-12-30T23:02:22.650Z
sensor.washing_machine_current_power,1.0,2025-12-30T23:02:27.655Z
sensor.washing_machine_current_power,2.0,2025-12-30T23:03:16.337Z
sensor.washing_machine_current_power,0.9,2025-12-30T23:05:57.378Z
sensor.washing_machine_current_power,2.0,2025-12-30T23:06:02.952Z
sensor.washing_machine_current_power,1.0,2025-12-30T23:06:18.027Z
sensor.washing_machine_current_power,2.4,2025-12-30T23:06:40.743Z
sensor.washing_machine_current_power,1.1,2025-12-30T23:06:49.002Z
sensor.washing_machine_current_power,2.2,2025-12-30T23:07:11.718Z
sensor.washing_machine_current_power,1.2,2025-12-30T23:07:42.691Z
sensor.washing_machine_current_power,2.3,2025-12-30T23:10:21.923Z
sensor.washing_machine_current_power,1.3,2025-12-30T23:10:40.258Z
sensor.washing_machine_current_power,2.3,2025-12-30T23:11:21.551Z
sensor.washing_machine_current_power,1.3,2025-12-30T23:11:33.941Z
sensor.washing_machine_current_power,2.6,2025-12-30T23:15:12.817Z
sensor.washing_machine_current_power,1.5,2025-12-30T23:15:14.890Z
sensor.washing_machine_current_power,2.5,2025-12-30T23:15:41.746Z
sensor.washing_machine_current_power,1.5,2025-12-30T23:15:45.861Z
sensor.washing_machine_current_power,2.6,2025-12-30T23:15:58.252Z
sensor.washing_machine_current_power,1.1,2025-12-30T23:16:03.768Z
sensor.washing_machine_current_power,2.2,2025-12-30T23:16:12.706Z
sensor.washing_machine_current_power,1.2,2025-12-30T23:16:56.081Z
sensor.washing_machine_current_power,2.2,2025-12-30T23:17:12.590Z
sensor.washing_machine_current_power,1.1,2025-12-30T23:17:18.873Z
sensor.washing_machine_current_power,2.1,2025-12-30T23:17:29.111Z
sensor.washing_machine_current_power,1.0,2025-12-30T23:17:47.697Z
sensor.washing_machine_current_power,2.0,2025-12-30T23:17:55.957Z
sensor.washing_machine_current_power,0.9,2025-12-30T23:18:00.090Z
sensor.washing_machine_current_power,2.1,2025-12-30T23:18:18.681Z
sensor.washing_machine_current_power,1.0,2025-12-30T23:18:53.774Z
sensor.washing_machine_current_power,2.0,2025-12-30T23:19:04.106Z
sensor.washing_machine_current_power,0.8,2025-12-30T23:19:10.301Z
sensor.washing_machine_current_power,2.1,2025-12-30T23:19:16.032Z
sensor.washing_machine_current_power,1.1,2025-12-30T23:19:59.850Z
sensor.washing_machine_current_power,2.2,2025-12-30T23:21:03.857Z
sensor.washing_machine_current_power,1.2,2025-12-30T23:21:38.969Z
sensor.washing_machine_current_power,2.3,2025-12-30T23:22:34.704Z
sensor.washing_machine_current_power,1.2,2025-12-30T23:22:49.170Z
sensor.washing_machine_current_power,2.3,2025-12-30T23:23:13.936Z
sensor.washing_machine_current_power,1.3,2025-12-30T23:23:20.132Z
sensor.washing_machine_current_power,2.7,2025-12-30T23:25:09.573Z
sensor.washing_machine_current_power,1.6,2025-12-30T23:25:11.628Z
sensor.washing_machine_current_power,2.8,2025-12-30T23:29:23.538Z
sensor.washing_machine_current_power,1.3,2025-12-30T23:29:25.583Z
sensor.washing_machine_current_power,2.3,2025-12-30T23:30:06.884Z
sensor.washing_machine_current_power,0.8,2025-12-30T23:30:33.740Z
sensor.washing_machine_current_power,1.8,2025-12-30T23:30:35.789Z
sensor.washing_machine_current_power,0.8,2025-12-30T23:30:44.051Z
sensor.washing_machine_current_power,2.1,2025-12-30T23:30:52.312Z
sensor.washing_machine_current_power,1.1,2025-12-30T23:31:04.703Z
sensor.washing_machine_current_power,2.4,2025-12-30T23:31:37.739Z
sensor.washing_machine_current_power,1.4,2025-12-30T23:31:44.026Z
sensor.washing_machine_current_power,2.4,2025-12-30T23:36:35.060Z
sensor.washing_machine_current_power,1.4,2025-12-30T23:36:43.326Z
sensor.washing_machine_current_power,2.4,2025-12-30T23:39:09.934Z
sensor.washing_machine_current_power,1.3,2025-12-30T23:39:16.666Z
sensor.washing_machine_current_power,2.3,2025-12-30T23:41:05.566Z
sensor.washing_machine_current_power,1.2,2025-12-30T23:41:22.090Z
sensor.washing_machine_current_power,2.2,2025-12-30T23:41:44.808Z
sensor.washing_machine_current_power,1.2,2025-12-30T23:42:05.451Z
sensor.washing_machine_current_power,2.2,2025-12-30T23:42:46.752Z
sensor.washing_machine_current_power,0.8,2025-12-30T23:42:55.012Z
sensor.washing_machine_current_power,1.8,2025-12-30T23:43:01.209Z
sensor.washing_machine_current_power,0.8,2025-12-30T23:51:12.631Z
sensor.washing_machine_current_power,2.0,2025-12-30T23:51:31.228Z
sensor.washing_machine_current_power,0.9,2025-12-30T23:51:37.664Z
sensor.washing_machine_current_power,2.0,2025-12-30T23:51:42.674Z
sensor.washing_machine_current_power,0.9,2025-12-30T23:51:58.072Z
sensor.washing_machine_current_power,2.1,2025-12-30T23:52:02.203Z
sensor.washing_machine_current_power,0.8,2025-12-30T23:52:12.530Z
sensor.washing_machine_current_power,2.0,2025-12-30T23:52:26.998Z
sensor.washing_machine_current_power,1.0,2025-12-30T23:52:45.582Z
sensor.washing_machine_current_power,2.1,2025-12-30T23:53:26.875Z
sensor.washing_machine_current_power,0.6,2025-12-30T23:54:28.826Z
sensor.washing_machine_current_power,1.7,2025-12-30T23:54:35.009Z
sensor.washing_machine_current_power,0.7,2025-12-30T23:56:03.802Z
sensor.washing_machine_current_power,2.1,2025-12-30T23:56:07.033Z
sensor.washing_machine_current_power,0.9,2025-12-30T23:56:34.777Z
sensor.washing_machine_current_power,1.9,2025-12-30T23:56:43.037Z
sensor.washing_machine_current_power,0.8,2025-12-30T23:58:01.517Z
sensor.washing_machine_current_power,1.8,2025-12-30T23:58:18.025Z
sensor.washing_machine_current_power,0.8,2025-12-30T23:58:46.946Z
sensor.washing_machine_current_power,2.1,2025-12-30T23:58:59.324Z
sensor.washing_machine_current_power,1.1,2025-12-30T23:59:07.586Z
sensor.washing_machine_current_power,2.2,2025-12-30T23:59:38.574Z
sensor.washing_machine_current_power,1.2,2025-12-31T00:00:07.468Z
sensor.washing_machine_current_power,2.3,2025-12-31T00:00:13.677Z
sensor.washing_machine_current_power,1.2,2025-12-31T00:00:30.184Z
sensor.washing_machine_current_power,2.2,2025-12-31T00:00:48.775Z
sensor.washing_machine_current_power,1.2,2025-12-31T00:00:57.032Z
sensor.washing_machine_current_power,2.2,2025-12-31T00:02:01.062Z
